"classe","ordem","familia","genero","nome_cientifico","nome_cientifico_anterior","nome_comum","categoria","criterio"
"Mammalia","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus emiliae","Gracilinanus emiliae","Catita, Cuíca, Guaiquica","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa demerarae","Marmosa demerarae","Cuíca","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa paraguayana","Marmosa paraguayana","Cuíca, Guaiquica-cinza, Tate’s wooly mouse opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosops","Marmosops paulensis","Marmosops paulensis","Brazilian slender opossum, Marmosa","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Clyomys","Clyomys laticeps","Clyomys laticeps","Broad-headed Spiny-rat, Rato-do-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou bicolor","Coendou bicolor","Bicolor-spined Porcupine, Ouriço-cacheiro","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou melanurus","Coendou melanurus","Black-tailed Hairy Dwarf Porcupine, Ouriço-cacheiro","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou roosmalenorum","Coendou roosmalenorum","Ouriço-cacheiro, Porcupine, Roosmalen's Dwarf Porcupine, Roosmalen’s Hairy Dwarf, Roosmalen's Porcupine","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis dimidiata","Monodelphis dimidiata","Catita, Guaiquica-anã","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis touan","Monodelphis touan","Catita","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Philander","Philander opossum","Philander opossum","Carachupa, Cucha gris de cuatro ojos, Cuíca-de-quatro-olhos, Gray Four-eyed Opossum, Guaiki, Mucura-de-quatro-olhos, Pericote, Quica opossum, Rabipelao, Rajá, Raposa huevera, Zorro","Menos Preocupante",NA
"Mammalia","Rodentia","Dasyproctidae","Dasyprocta","Dasyprocta catrinae","Dasyprocta catrinae",NA,"Dados Insuficientes",NA
"Mammalia","Rodentia","Dasyproctidae","Dasyprocta","Dasyprocta fuliginosa","Dasyprocta fuliginosa","Black Agouti, Cutia","Menos Preocupante",NA
"Mammalia","Rodentia","Dasyproctidae","Dasyprocta","Dasyprocta nigriclunis","Dasyprocta nigriclunis","Cutia, Highland Black-rumped Agouti","Menos Preocupante",NA
"Mammalia","Rodentia","Dinomyidae","Dinomys","Dinomys branickii","Dinomys branickii","Paca de rabo, Pacarana","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Thylamys","Thylamys velutinus","Thylamys velutinus","Catita, Dwarf mouse opossum","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Echimys","Echimys chrysurus","Echimys chrysurus","Rato-da-árvore, White-faced Spiny Tree-rat, White-faced Tree Rat","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Echimys","Echimys vieirai","Echimys vieirai","Rato-da-árvore, Vieira’s Spiny Tree-rat","Menos Preocupante",NA
"Mammalia","Rodentia","Sciuridae","Guerlinguetus","Guerlinguetus aestuans","Guerlinguetus aestuans","Caxinguelê, Esquilo, Guianan Squirrel, Quatipuru","Menos Preocupante",NA
"Mammalia","Rodentia","Sciuridae","Guerlinguetus","Guerlinguetus brasiliensis","Guerlinguetus brasiliensis","Esquilo, Quatipuru-pequeno, Serelepe","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Trinomys","Trinomys mirapitanga",NA,"Dark-caped Atlantic Spiny-rat, Rato-do-espinho","Em Perigo","B1ab(iii)"
"Mammalia","Rodentia","Echimyidae","Trinomys","Trinomys yonenagae",NA,"Rato-do-espinho, Yonenaga’s Atlantic Spiny-rat","Em Perigo","B1ab(ii,iii)"
"Mammalia","Rodentia","Sciuridae","Hadrosciurus","Hadrosciurus pyrrhinus","Hadrosciurus pyrrhinus","Esquilo, Junín Red Squirrel, Quatipuru","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Thrichomys","Thrichomys apereoides","Thrichomys apereoides","Common Punaré, Punaré, Rabudo","Menos Preocupante",NA
"Mammalia","Rodentia","Caviidae","Hydrochoerus","Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","Capivara","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Isothrix","Isothrix negrensis","Isothrix negrensis","Rato-coró, Rio Negro Brush-tailed Rat","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Isothrix","Isothrix pagurus","Isothrix pagurus","Plain Brush-tailed Rat, Rato-coró","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Makalata","Makalata didelphoides","Makalata didelphoides","Rato-coró, Red-nosed Armored Tree-rat","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Makalata","Makalata macrura","Makalata macrura","Long-tailed Armored Tree-rat, Rato-coró","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Myocastor","Myocastor coypus","Myocastor coypus","Coypu, Cujá, Nutria, Pacão, Ratão-do-banhado","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys brevicauda","Proechimys brevicauda","Huallaga Spiny Rat, Rato-de-espinho, Short-tailed Spiny-rat","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys gardneri","Proechimys gardneri","Gardner’s Spiny-rat, Rato-de-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys kulinae","Proechimys kulinae",NA,"Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys quadruplicatus","Proechimys quadruplicatus","Napo Spiny-rat, Rato-do-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys steerei","Proechimys steerei","Rato-do-espinho, Steere’s Spiny-rat","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys brasiliensis","Phyllomys brasiliensis","Orange-brown Atlantic tree-rat, Rato-da-árvore","Em Perigo","B1ab(ii,iii)+2ab(ii,iii)"
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys medius","Phyllomys medius","Long-furred Atlantic Tree-rat, Rato-da-árvore","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys nigrispinus","Phyllomys nigrispinus","Black-spined Atlantic Tree-rat, Rato-da-árvore","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Carterodon","Carterodon sulcidens","Carterodon sulcidens","Rato-do-mato; Rato-de-espinho","Dados Insuficientes",NA
"Mammalia","Rodentia","Caviidae","Cavia","Cavia fulgida","Cavia fulgida","Preá","Menos Preocupante",NA
"Mammalia","Rodentia","Caviidae","Cavia","Cavia magna","Cavia magna","Apereá de dorso oscuro, Preá","Quase Ameaçada",NA
"Mammalia","Rodentia","Echimyidae","Toromys","Toromys grandis","Toromys grandis","Giant Tree-rat, Rato-da-árvore","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Pauxi","Pauxi mitu","Pauxi mitu","mutum-do-nordeste","Extinta na Natureza",NA
"Aves","Rheiformes","Rheidae","Rhea","Rhea americana","Rhea americana","ema","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus parvirostris","Crypturellus parvirostris","inambu-chororó","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus soui","Crypturellus soui","tururim","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus tataupa","Crypturellus tataupa","inambu-chintã","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Callibella","Callibella humilis","Callibella humilis","Sagui","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico argentatus","Mico argentatus","Sagui-argênteo","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico emiliae","Mico emiliae","Sagui-de-snethlage","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico leucippe","Mico leucippe","Sagui-de-orelha-nua-branco, Souim-branco","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico melanurus","Mico melanurus","Sagui-marrom","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Saimiri","Saimiri collinsi","Saimiri collinsi","Macaco-de-cheiro, Macaco-mão-de-ouro","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Saimiri","Saimiri macrodon","Saimiri macrodon","Macaco-de-cheiro","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Saimiri","Saimiri ustus","Saimiri ustus","Macaco-de-cheiro, Mico-de-cheiro","Menos Preocupante",NA
